,Time,Gas,Coins,Action,wallet_ust,wallet_ust_bidbook_bLuna,wallet_ust_bidbook_bETH,wallet_exp_bLuna,wallet_exp_uLuna,wallet_exp_bETH,tx_hash
0,2022-04-06 10:36:11.316205,0.12426194,0,Claim,57.727993,880.064324,0.0,173069,0,0,C2F708D975313F5DF6E81DB6C997A13F9ED0EB72C0BF45A3AC0471ABAED64215
0,2022-04-06 10:37:07.223437,0,937.659875,Init,57.595551,880.064324,0.0,173069,0,0,
0,2022-04-06 10:38:07.924549,0.1362746,173069,Swap [bLuna],57.595551,880.064324,0.0,0,0,0,C21245CC54515205EAC642EC42E40F66D2E21B32C5512A1B0CA0311DB4050D41
0,2022-04-06 10:38:21.435803,0,937.5507150000001,Init,57.486391,880.064324,0.0,0,172198,0,
0,2022-04-06 10:40:00.905099,0.05842518,172198,Swap [uLuna],57.486391,880.064324,0.0,0,172198,0,464BEFF9C6A2B2D79CD927BA8261F934D6D74A4E7795627C96E8AA0068B750A5
0,2022-04-06 10:40:17.145524,0,957.3803200000001,Init,77.315996,880.064324,0.0,0,0,0,
0,2022-04-06 10:46:42.736132,0.1236873,0,Claim,77.315996,871.810232,0.0,72017,0,0,8327759B0A30FC3FD88825658DF0A25853A71C66D15E8625FF8BD8A50DCAEB35
0,2022-04-06 10:47:20.138785,0,948.994325,Init,77.184093,871.810232,0.0,72017,0,0,
0,2022-04-06 10:49:10.633875,0.13625546,72017,Swap [bLuna],77.184093,871.810232,0.0,0,0,0,A3967E5152DD85B9FF0DAB15A48CFC41769F99BC157120ACF0245A942B56A160
0,2022-04-06 10:49:21.169099,0,948.8851860000001,Init,77.074954,871.810232,0.0,0,71627,0,
0,2022-04-06 10:51:19.187664,0.058388,71627,Swap [uLuna],77.074954,871.810232,0.0,0,71627,0,097D41DADF2B038F1BCDABC5AFACE5F994D61B9FA7AE93F12261E43A7C4BE117
0,2022-04-06 10:51:24.345070,0,957.0806070000001,Init,85.270375,871.810232,0.0,0,0,0,
0,2022-04-06 11:04:40.489557,0.12373196,0,Claim,85.270375,859.504958,0.0,107519,0,0,3980A02639D0E3546605735AA8EE15D9F125D820ECF3A963865AD28615C0840C
0,2022-04-06 11:05:06.295665,0,944.6433979999999,Init,85.13844,859.504958,0.0,107519,0,0,
0,2022-04-06 11:06:53.043282,0.13627306,107519,Swap [bLuna],85.13844,859.504958,0.0,0,0,0,DB8286C65CA7786997AC4F90B02A3E838302C35C608B919314313467801AEC62
0,2022-04-06 11:07:19.927546,0,944.534239,Init,85.029281,859.504958,0.0,0,106976,0,
0,2022-04-06 11:09:23.932909,0.05841792,106976,Swap [uLuna],85.029281,859.504958,0.0,0,106976,0,EDF5389452C2A2C08BF8255AF21B5D73DEAD6278BD555168041E27310C625580
0,2022-04-06 11:09:45.541274,0,956.748708,Init,97.24375,859.504958,0.0,0,0,0,
0,2022-04-06 13:02:04.765266,0.12416514,0,Claim,97.24375,854.508945,0.0,44746,0,0,CB59A20C0984792D5CC2C1FA9CC27F0DE528B8ECB3913446EAA894E8D10CBFA7
0,2022-04-06 13:02:39.778200,0,951.620367,Init,97.111422,854.508945,0.0,44746,0,0,
0,2022-04-06 13:03:56.803880,0.13626734,44746,Swap [bLuna],97.111422,854.508945,0.0,0,0,0,E641ACF9BD0D2E646B0759FC09BB55D576D2DA6469B7EC87278B96FB50051D2D
0,2022-04-06 13:04:12.520514,0,951.511219,Init,97.002274,854.508945,0.0,0,44504,0,
0,2022-04-06 13:06:11.299425,0.058395699999999995,44504,Swap [uLuna],97.002274,786.509212,0.0,0,44504,0,EF24C3A3101BD1974A84BFD3C4D8ECE29AF9065557D4EDC6FAD04C10CD7120F7
0,2022-04-06 13:06:17.510252,0,888.384224,Init,101.875012,786.509212,0.0,0,0,0,
0,2022-04-06 13:07:11.970619,0.12379003999999999,0,Claim,101.875012,786.509212,0.0,612989,0,0,1B266D55C24F4FC9D970ADC3B41CC1064A9D2828890C187412D76808F8EF307E
0,2022-04-06 13:07:38.971616,0,888.2523050000001,Init,101.743093,786.509212,0.0,612989,0,0,
0,2022-04-06 13:09:30.567444,0.1363043,612989,Swap [bLuna],101.743093,786.509212,0.0,0,0,0,7543E353D95310451F14F5021ACA8CC99ED5055B5703AFB17B54087FFAD8140C
0,2022-04-06 13:09:48.830819,0,888.143132,Init,101.63392,786.509212,0.0,0,609636,0,
0,2022-04-06 13:11:17.118822,0.05842034,609636,Swap [uLuna],101.63392,786.509212,0.0,0,609636,0,4FFD3C22275966AF0C997A2C45978A94413D9D61687C1D3E01FB8840EFF43341
0,2022-04-06 13:11:34.542868,0,955.9802030000001,Init,169.470991,786.509212,0.0,0,0,0,
0,2022-04-06 13:32:58.142370,0.12418296000000001,0,Claim,169.470991,771.892493,0.0,132394,0,0,FABC73D0497E3E37EDD0FE0BFF39D8A1EEE97BDC814FD36373BC6585D5B5C880
0,2022-04-06 13:33:45.453970,0,941.231144,Init,169.338651,771.892493,0.0,132394,0,0,
0,2022-04-06 13:35:17.612102,0.13630628,132394,Swap [bLuna],169.338651,771.892493,0.0,0,0,0,240F09B36F8CF20082B7357E32868240F1925ABD5F516E7485D9CC7669EA6A37
0,2022-04-06 13:35:30.209111,0,941.1219689999999,Init,169.229476,771.892493,0.0,0,131905,0,
0,2022-04-06 13:37:08.513348,0.05843618,131905,Swap [uLuna],169.229476,771.892493,0.0,0,131905,0,6A61728E186C754E552D46DFDAA7D3808A0FD0721456ACE1191852FA227FEBB8
0,2022-04-06 13:37:23.076992,0,955.8636779999999,Init,183.971185,771.892493,0.0,0,0,0,
0,2022-04-06 15:00:41.148386,0.12417746,0,Claim,183.971185,580.372269,0.0,1739562,0,0,C1D040173D7F6392ECBA847E36F91271E815298552E8B3D36574524E5B5AC543
0,2022-04-06 15:01:22.031561,0,764.211154,Init,183.838885,580.372269,0.0,1739562,0,0,
0,2022-04-06 15:03:15.990864,0.13627482000000002,1739562,Swap [bLuna],183.838885,580.372269,0.0,0,0,0,08229BC26AE8FD66BF73482F78CB2C9050885EF4285A6241854E8454B8293510
0,2022-04-06 15:04:05.141849,0,764.102,Init,183.729731,580.372269,0.0,0,1729403,0,
0,2022-04-06 15:05:32.387628,0.058465,1729403,Swap [uLuna],183.729731,580.372269,0.0,0,1729403,0,33226145169350C0CFB6CF2E6032B01B04B5D1810DF8AA72E4FC6E42BA46CE7F
0,2022-04-06 15:05:39.147028,0,956.049729,Init,375.67746,580.372269,0.0,0,0,0,
0,2022-04-06 15:42:33.698960,0.12415480000000001,0,Claim,375.67746,534.249797,0.0,419823,0,0,33BC6898C3BE5EABC163FB3C1C53D0A6DCE15367583EDB12D99079FA94CE8294
0,2022-04-06 15:42:57.038244,0,909.794948,Init,375.545151,534.249797,0.0,419823,0,0,
0,2022-04-06 15:44:47.105745,0.13631464000000001,419823,Swap [bLuna],375.545151,225.068806,0.0,0,0,0,56C3D9A30E0C59C5D7BCBC4B643BF2E9FAF22D63EFFBBB6C7C311E5A8E636751
0,2022-04-06 15:45:07.689553,0,600.504782,Init,375.435976,225.068806,0.0,0,417876,0,
0,2022-04-06 15:45:56.414995,0.1236928,0,Claim,375.435976,225.068806,0.0,2825097,417876,0,1E51E93EC197470D68821400BD5354655A841D0E155CC000BC6685DBD64628AF
0,2022-04-06 15:46:21.110014,0,600.372977,Init,375.304171,225.068806,0.0,2825097,417876,0,
0,2022-04-06 15:47:48.355383,0.12366794,0,Claim,375.304171,224.385206,0.0,2831349,417876,0,BA07283302C97673600D7D908111B38BF8BC08CC20EF884F575D9B54533A6D3A
0,2022-04-06 15:48:15.390681,0,599.557591,Init,375.172385,224.385206,0.0,2831349,417876,0,
0,2022-04-06 15:50:01.183645,0.13633092000000002,2831349,Swap [bLuna],375.172385,0.0,0.0,0,417876,0,BD69A6911ED53CC12373A0DEEECEE1F6A48DD2C59CF2C15363585A785259C857
0,2022-04-06 15:50:40.290281,0,375.063185,Init,375.063185,0.0,0.0,0,3234767,0,
0,2022-04-06 15:51:53.605583,0.11819896,0,Claim,375.063185,0.0,0.0,2057538,3234767,0,2DE673617C1293EB7ED86C4ED0B1000F14EE826F39BBBFE2AA432062CECE4CE3
0,2022-04-06 15:52:31.599134,0,374.937365,Init,374.937365,0.0,0.0,2057538,3234767,0,
0,2022-04-06 15:54:25.262897,0.13633752,2057538,Swap [bLuna],374.937365,0.0,0.0,0,3234767,0,ED90F96C35EBD251E5D3F140B525629938A424FFEC24F89BE08EFA4F23FD6F46
0,2022-04-06 15:54:44.389631,0,374.828165,Init,374.828165,0.0,0.0,0,5281220,0,
0,2022-04-06 15:57:16.682992,0.058464340000000004,5281220,Swap [uLuna],374.828165,0.0,0.0,0,5281220,0,4D3C1DF9C4750F6F51739B9E2297950B9C9EFD59A2CBD7532E268AC71F155FCA
0,2022-04-06 15:57:26.419039,0,954.240508,Init,954.240508,0.0,0.0,0,0,0,
0,2022-04-06 15:58:47.896674,0.03123054,90000000,Submit,954.240508,900.0,0.0,0,0,0,B0E70E97FDD68B987C277F4CABEB5E10750AA72AA6BC0A27372143D8212B8A7C
0,2022-04-06 15:59:34.519170,0,954.209568,Init,54.209568,900.0,0.0,0,0,0,
0,2022-04-06 16:08:25.365351,0,954.209568,Init,54.209568,900.0,0.0,0,0,0,
0,2022-04-06 16:09:44.723641,0.035758580000000005,0,Activate,54.209568,900.0,0.0,0,0,0,7DCE1465DFF23C3D3DF85438DEAF36020E1DB2AAD78203F45EB48744FC245301
0,2022-04-06 16:10:31.726628,0,954.173676,Init,54.173676,900.0,0.0,0,0,0,
0,2022-04-06 17:03:45.111066,0.12411211999999999,0,Claim,54.173676,509.22938,0.0,143247,0,0,B2CCF2D959F44DCF79A8BA909E00E68F37FE1B49B66FBFCA2151D18704143EBC
