,Time,Gas,Coins,Action,wallet_ust,wallet_ust_bidbook_bLuna,wallet_ust_bidbook_bETH,wallet_exp_bLuna,wallet_exp_uLuna,wallet_exp_bETH,tx_hash
0,2022-04-02 17:58:58.522614,0.03109788,1000000,Submit,10.318903,10.0,10.0,0,0,0,AA4FFB6DC5F7E7DB165EFC80D16268C402B12F46D607A9558172C9899B8923C2
0,2022-04-02 17:59:59.686229,0.07424252,0,Claim,10.318903,10.0,10.0,0,0,2927,4B2EEAF4D1BAFB19ADB5B279216D470649496003B069C0958C54B5476EBCFCC0
0,2022-04-02 18:01:30.795909,0.09224182,2927,Swap [bETH],10.318903,10.0,10.0,0,0,0,DF1D2C01BF1B8410F01EA9A130991DDD8B459764044C763933B344EB72485560
0,2022-04-02 18:02:07.586170,0,39.608958,Init,19.608958,10.0,10.0,0,0,0,
0,2022-04-02 21:49:08.173428,0,39.035384,Init,19.177124,9.85826,10.0,0,0,0,
0,2022-04-02 21:50:51.521574,0.03307568,0,Activate,19.177124,9.85826,10.0,0,0,0,A9FD36F0F936AE71DE582BE5CDB5FDE701261B8F6EB57833327E5EF5EB414A36
0,2022-04-02 21:51:57.620670,0,39.002416,Init,19.144156,9.85826,10.0,0,0,0,
