,Time,Gas,Coins,Action,wallet_ust,wallet_ust_bidbook_bLuna,wallet_ust_bidbook_bETH,wallet_exp_bLuna,wallet_exp_uLuna,wallet_exp_bETH
0,2022-03-23 10:08:44.592462,0,1.770196,Init,1.570196,0.1,0.1,0,0,0
0,2022-03-23 10:09:10.717347,0,1.770196,Init,1.570196,0.1,0.1,0,0,0
0,2022-03-23 10:12:32.493297,0,1.7346020000000002,Init,1.634602,0.0,0.1,0,0,0
0,2022-03-23 10:14:02.614648,0,1.7346020000000002,Init,1.634602,0.0,0.1,0,0,0
0,2022-03-23 10:17:51.118481,0,1.7038460000000002,Init,1.503846,0.1,0.1,0,0,0
0,2022-03-23 10:18:22.034428,0.027403860000000002,10000,Retract,1.503846,0.0,0.1,0,0,0
0,2022-03-23 10:19:11.559339,0,1.6770390000000002,Init,1.577039,0.0,0.1,0,0,0
0,2022-03-23 10:19:58.504236,0.03104662,10000,Submit,1.577039,0.1,0.1,0,0,0
0,2022-03-23 10:31:28.513636,0.035208800000000005,0,Activate,1.577039,0.1,0.1,0,0,0
0,2022-03-23 11:17:31.174451,0.12381446,0,Claim,1.577039,0.027288,0.1,788,0,0
0,2022-03-23 11:34:45.856429,0,1.3046060000000002,Init,1.177318,0.027288,0.1,788,0,0
0,2022-03-23 11:36:37.581363,0.13715944,788,Swap,1.177318,0.027288,0.1,0,0,0
0,2022-03-23 11:42:30.049591,0,1.1947210000000001,Init,1.067433,0.027288,0.1,0,774,0
0,2022-03-23 14:22:41.187523,0,1.22146,Init,1.094172,0.027288,0.1,0,0,0
