,Time,Gas,Coins,Action,wallet_ust,wallet_ust_bidbook_bLuna,wallet_ust_bidbook_bETH,wallet_exp_bLuna,wallet_exp_uLuna,wallet_exp_bETH,tx_hash
0,2022-03-31 09:35:14.294220,0,43.93483,Init,29.117638,10.0,4.817192,0,0,0,
0,2022-03-31 12:53:26.109836,0.12391192,0,Claim,29.117638,9.889432,4.817192,1032,0,0,73030E8CBA04106F1C7456CA3F7C6D83BB975EA0B626B4A24A13B142627EDD3C
0,2022-03-31 12:53:52.619632,0,43.692202,Init,28.985578,9.889432,4.817192,1032,0,0,
0,2022-03-31 12:56:02.783217,0.13622686,1032,Swap [bLuna],28.985578,9.889432,4.817192,0,0,0,A1196C30FA15A68AB3D7C53BBE979EDEAEB9F356FD150237A4AFCC88FA1EAB8D
0,2022-03-31 12:56:26.159312,0,43.583087,Init,28.876463,9.889432,4.817192,0,1026,0,
0,2022-03-31 12:58:36.414071,0.05833674,1026,Swap [uLuna],28.876463,9.889432,4.817192,0,1026,0,540689D8F0F9C9799CC36BDE43D56EEB0587BA6DB56B61BD51B285E917AF362A
0,2022-03-31 12:59:18.444624,0,43.648092999999996,Init,28.941469,9.889432,4.817192,0,0,0,
0,2022-03-31 16:09:35.602060,0.12396054,0,Claim,28.941469,9.385181,4.817192,4915,0,0,B1B8D0AD35DD8ACF792FD919F0531DC31EE355139FF5090FEE7FD78FEF3F9E7A
0,2022-03-31 16:10:29.130939,0,43.011737,Init,28.809364,9.385181,4.817192,4915,0,0,
0,2022-03-31 16:12:20.482049,0.13625589999999999,4915,Swap [bLuna],28.809364,9.385181,4.817192,0,0,0,FEA4C28D8043D02FE6DDFA64D9841A443A2B406EF7541B2E8D6853D493508C16
0,2022-03-31 16:13:03.805533,0,42.902598,Init,28.700225,9.385181,4.817192,0,4891,0,
0,2022-03-31 16:15:05.688588,0.058344,4891,Swap [uLuna],28.700225,9.385181,4.817192,0,4891,0,72791649ED06E7E0A4DCDBA10CACB34293273CB31E96E98B40E44C72A94EBD34
0,2022-03-31 16:15:21.362228,0,43.366532,Init,29.164159,9.385181,4.817192,0,0,0,
0,2022-03-31 18:31:42.627334,0.12396582,0,Claim,29.164159,6.035815,4.817192,140,0,0,F600D991B20CF1AE5F40F62140507E21FDEDD7336C9291FB0E322B4CC15E3B7C
0,2022-03-31 18:32:34.183037,0,39.885055,Init,29.032048,6.035815,4.817192,140,0,0,
0,2022-03-31 18:34:14.935857,0.11813362,0,Claim,29.032048,0.0,4.817192,92313,0,0,99CA93B10B6BC1080406A8C9937D840B01660E8AF24ADCFA3E49ECC96299F74C
0,2022-03-31 18:34:44.025224,0,33.723491,Init,28.906299,0.0,4.817192,92313,0,0,
0,2022-03-31 18:36:52.414355,0.13627856,92313,Swap [bLuna],28.906299,0.0,4.817192,0,0,0,C20244B3FF68FA4B6B2667A649422C1CBC2F91CB3DBFE8D79BF2FF141CCBA8C7
0,2022-03-31 18:37:17.086411,0,33.614334,Init,28.797142,0.0,4.817192,0,91847,0,
0,2022-03-31 18:39:56.646762,0.058349059999999994,91847,Swap [uLuna],28.797142,0.0,4.817192,0,91847,0,F815346DADF699E20001A0FBC20A9735EB86920FE697883AB74B2118EA472E7E
0,2022-03-31 18:40:28.610765,0,42.964435,Init,38.147243,0.0,4.817192,0,0,0,
0,2022-03-31 18:41:35.654847,0.031109099999999997,1000000,Submit,38.147243,10.0,4.817192,0,0,0,934E2F19540F31656A35FE7180574F27B80DEFFA62C47E40ECD8FE0CA8089747
0,2022-03-31 18:43:04.383011,0,42.93362,Init,28.116428,10.0,4.817192,0,0,0,
0,2022-03-31 18:51:18.945976,0,42.93362,Init,28.116428,10.0,4.817192,0,0,0,
0,2022-03-31 18:53:06.325293,0.03309064,0,Activate,28.116428,10.0,4.817192,0,0,0,D20D1CDD1CD4B0C470C93353537C38568F4533B26E96AC095A9903D98EB9B36C
0,2022-03-31 18:53:31.123950,0,42.900642,Init,28.08345,10.0,4.817192,0,0,0,
0,2022-03-31 19:00:36.894641,0.03108336,1000000,Submit,28.08345,10.0,4.817192,0,0,0,992E5D7D28C59BFFDB6A48F62D63AD14B41F74EFD730089D4E745131C2CE881C
0,2022-03-31 19:01:41.488430,0,32.86983,Init,18.052638,10.0,4.817192,0,0,0,
0,2022-03-31 19:02:43.881070,0.12018754,0,Claim,18.052638,10.0,4.817192,98806,0,0,2EE7297491A0CB3B907E8B999B5C81EF2508463237106B7E79511587C21BAF35
0,2022-03-31 19:03:56.487311,0,32.741841,Init,17.924649,10.0,4.817192,98806,0,0,
0,2022-03-31 19:10:30.720396,0,32.741841,Init,17.924649,10.0,4.817192,98806,0,0,
0,2022-03-31 19:11:47.468934,0.0330869,0,Activate,17.924649,10.0,4.817192,98806,0,0,04582FB17FAC946B6A500CE81C918C9CC042CBD7E4500A1CD5450C32275CD0FA
0,2022-03-31 19:12:33.221120,0,32.70886,Init,17.891668,10.0,4.817192,98806,0,0,
0,2022-03-31 19:14:36.978530,0.13628538,98806,Swap [bLuna],17.891668,10.0,4.817192,0,0,0,3C25FB1B67FB3D792D50C4EAF18FEB9E3664B574D97755AFEFC17C956C469713
0,2022-03-31 19:15:18.840702,0,32.599697,Init,17.782505,10.0,4.817192,0,98225,0,
0,2022-03-31 19:17:42.968019,0.058395260000000004,98225,Swap [uLuna],17.782505,10.0,4.817192,0,98225,0,D141359F96D5EBEAA31FF03F8DFC17D60B69E0794545404880E7C661C22693EB
0,2022-03-31 19:17:49.116933,0,42.604075,Init,27.786883,10.0,4.817192,0,0,0,
