,Time,Gas,Coins,Action,wallet_ust,wallet_ust_bidbook_bLuna,wallet_ust_bidbook_bETH,wallet_exp_bLuna,wallet_exp_uLuna,wallet_exp_bETH,tx_hash
0,2022-03-25 10:31:48.954547,0,0.377273,Init,0.358827,0.0,0.018446,0,0,0,
0,2022-03-25 10:32:26.030231,0.03097534,10000,Submit,0.358827,0.1,0.018446,0,0,0,27F96A7F601C39503785EE12023DEE346168521255FDF4BD9C726DAA40CDF97C
0,2022-03-25 10:32:50.701058,0.11913594,0,Claim,0.358827,0.1,0.018446,1099,0,0,E9944C134F4CC7DEC84668FD1395F90D399BD293AAA80CA60B59292245E3B2E6
0,2022-03-25 10:35:40.642484,0,0.219721,Init,0.101275,0.1,0.018446,1099,0,0,
0,2022-03-25 17:15:56.980081,0,50.219721,Init,50.101275,0.1,0.018446,1099,0,0,
0,2022-03-25 17:17:16.774682,0.033002199999999995,0,Activate,50.101275,0.1,0.018446,1099,0,0,1E24FDEC2CFA493FD42550AE004AD35AAB1E166402AD276A6368F73CEBC19181
0,2022-03-25 17:18:22.483499,0.13720762,1099,Swap,50.101275,0.1,0.018446,0,0,0,254B7FE765D0823B57534FC524AFA6DAA4E22554E3FAA816FDEC823996ED90ED
0,2022-03-25 17:43:46.962820,0.03109128,1000000,Submit,50.101275,10.0,0.018446,0,0,0,CE7BB63C7EFF9B28E38A4AE8473FA7E2463A89F5FDEA26D2BAF50857BBCE8444
0,2022-03-25 17:45:01.541947,0.11889196,0,Claim,50.101275,10.0,0.018446,1108,0,0,537AFDEA1358704F097B3A36C1E37B592DC3897C8A4BE13CB4CF827E83D78A1A
0,2022-03-25 21:44:15.334348,0,49.817666,Init,39.801071,10.0,0.016595,1108,1087,0,
0,2022-03-25 21:45:29.369597,0.03307568,0,Activate,39.801071,10.0,0.016595,1108,1087,0,8D1A787D8D0FC63C9E938628E06BC0F444D7D37F29601D05218429FC56930BC9
0,2022-03-25 21:48:54.186731,0.13832455999999999,1108,Swap,39.801071,10.0,0.016595,0,1087,0,7F3570AD48E10289B2552DF9C685A95276BE3774B48DEDC915A96EEDD107C741
0,2022-03-25 21:52:36.973247,0.0586344,1087,Swap,39.801071,10.0,0.016595,0,1087,0,57368E0AB53B64052DFD5C54B617F562B4671F349C0F11EA5D3F27A4B2DD96DA
0,2022-03-25 21:54:45.669797,0.05860734,1087,Swap,39.801071,10.0,0.016595,0,1087,0,D7355536F60F8B7F1F54F16249DAFBD76CCCD888DD45F22905F7C8EA3E1DC6C2
0,2022-03-25 22:02:27.308088,0,49.778146,Init,39.761551,10.0,0.016595,0,4,0,
0,2022-03-25 22:06:18.413123,0,49.733208000000005,Init,39.716613,10.0,0.016595,0,0,0,
0,2022-03-25 22:09:39.708847,0,49.733208000000005,Init,39.716613,10.0,0.016595,0,0,0,
