,Time,Gas,Coins,Action,wallet_ust,wallet_ust_bidbook_bLuna,wallet_ust_bidbook_bETH,wallet_exp_bLuna,wallet_exp_uLuna,wallet_exp_bETH,tx_hash
0,2022-04-01 04:03:09.212109,0.1238303,0,Claim,27.786883,7.635558,4.106612,894,0,219,8002AE74558596228F3E857E491973B53C0247D5F9144B679F482353D71D8666
0,2022-04-01 04:03:45.317418,0,39.314226,Init,27.572056,7.635558,4.106612,894,0,219,
0,2022-04-01 04:04:42.587669,0.12463572,0,Claim,27.572056,7.635558,4.106612,23460,0,0,0337886C0F0A0791341BBB5D196A6EDE8234D66A5DDD1876A481F751376BC505
0,2022-04-01 04:05:17.041051,0,39.821579,Init,28.079409,7.635558,4.106612,23460,0,0,
0,2022-04-01 04:07:16.393577,0.13732796,23460,Swap [bLuna],28.079409,7.635558,4.106612,0,0,0,41F911DE71AA91D4069251A2EE8F8557CFBB6A701CE82631FB221BF566B04C6E
0,2022-04-01 04:07:50.041833,0,39.711563,Init,27.969393,7.635558,4.106612,0,23311,0,
0,2022-04-01 04:10:09.864460,0.05838074,23311,Swap [uLuna],27.969393,7.635558,4.106612,0,23311,0,7071EB6067ECECC08F9E68BC05570DC97E8A119BB46C96808F2A7E8C9E94D736
0,2022-04-01 04:10:14.994258,0,42.038467,Init,30.296297,7.635558,4.106612,0,0,0,
0,2022-04-01 04:27:23.633843,0.1236279,0,Claim,30.296297,6.107451,3.993751,2622,0,0,406BC12DB37175CD6DFF1B7B871B283D5DA15B28E4F2837D44A016F6A79050B7
0,2022-04-01 04:28:20.160879,0,34.11971,Init,30.125963,0.0,3.993747,2622,0,0,
0,2022-04-01 04:29:24.977881,0.1181059,0,Claim,30.125963,0.0,3.993747,76520,0,0,EA257CBE03F887562760743F4F2D1F275A1B1EDA140465FD9A2173ECAFEAC691
0,2022-04-01 04:30:01.233319,0,33.993992,Init,30.000245,0.0,3.993747,76520,0,0,
0,2022-04-01 04:32:19.778559,0.13621388,76520,Swap [bLuna],30.000245,0.0,3.993747,0,0,0,CDDF57317F9427BC92ED56A0AF510EEB5943F210F5E0176E1904EC19309C5C6D
0,2022-04-01 04:32:38.825992,0,33.884888000000004,Init,29.891141,0.0,3.993747,0,76182,0,
0,2022-04-01 04:34:51.677842,0.058388,76182,Swap [uLuna],29.891141,0.0,3.993747,0,76182,0,877D2BE8F5CFE9ED082D145352F16C3848A166E5F18C07671F9C664C7E3B4DA9
0,2022-04-01 04:34:59.526465,0,41.433405,Init,37.439658,0.0,3.993747,0,0,0,
0,2022-04-01 04:36:30.457790,0.03110646,1000000,Submit,37.439658,10.0,3.993747,0,0,0,E1F494D2FF7056921D29258C92CD878BE2D1EAB15F3C08A6D502BA66C454E63E
0,2022-04-01 04:36:47.687643,0,41.402592999999996,Init,27.408846,10.0,3.993747,0,0,0,
0,2022-04-01 04:46:39.249720,0,41.402592999999996,Init,27.408846,10.0,3.993747,0,0,0,
0,2022-04-01 04:47:29.416302,0.03325982,0,Activate,27.408846,10.0,3.993747,0,0,0,326B758CDE51177B4A19FA5FED6D83B4C3123FF5CE24DF5CDE6EC381E4C28CB0
0,2022-04-01 04:48:06.649448,0,41.369432,Init,27.375685,10.0,3.993747,0,0,0,
0,2022-04-01 04:54:44.221722,0.03110646,1000000,Submit,27.375685,10.0,3.993747,0,0,0,0F857993CB54CA270EDCA4DF5BF0838CEB3D15670741ED475AE3EA415DD8C2C8
0,2022-04-01 04:55:12.325185,0,31.33862,Init,17.344873,10.0,3.993747,0,0,0,
0,2022-04-01 04:56:03.137247,0.11875534,0,Claim,17.344873,10.0,3.993747,101195,0,0,CD9E366BE31423200975D3F1A52F86FD66F063777D8714B7FEADD4431D743392
0,2022-04-01 04:56:24.074874,0,31.212193,Init,17.218446,10.0,3.993747,101195,0,0,
0,2022-04-01 09:20:37.429244,0,31.212193,Init,17.218446,10.0,3.993747,101195,0,0,
0,2022-04-01 09:22:06.845047,0.033157519999999996,0,Activate,17.218446,10.0,3.993747,101195,0,0,74D1633288B687BDE7968D6FA5C70710E9993D1ECE366A5ED7B0B8A7A22AEC50
0,2022-04-01 09:24:06.178290,0,31.179143,Init,17.185396,10.0,3.993747,101195,0,0,
0,2022-04-01 09:26:53.330366,0.13726988,101195,Swap [bLuna],17.185396,10.0,3.993747,0,0,0,F023CB2CFFF560E608B6B9CFB26BF326BB20F25DE007AF74AAEEB572B1F452C6
0,2022-04-01 09:27:17.907954,0,31.069169,Init,17.075422,10.0,3.993747,0,100614,0,
0,2022-04-01 09:29:50.057632,0.05841066,100614,Swap [uLuna],17.075422,10.0,3.993747,0,100614,0,9B74DBF9789A8F033F286DCF19FB88C5D3749BAE36B0191C68061810C069594F
0,2022-04-01 09:30:03.115363,0,41.234151,Init,27.240404,10.0,3.993747,0,0,0,
0,2022-04-01 12:07:17.103980,0.03107676,1000000,Submit,27.240404,10.0,10.0,0,0,1234,BACA2013E8B40819ADAD24B3E3919DA05E862BC5C9EC0A7B51FF002BEB5D169B
0,2022-04-01 12:08:13.016949,0,27.10137,Init,7.10137,10.0,10.0,0,0,1234,
0,2022-04-01 12:09:18.449063,0.11906422,0,Claim,7.10137,10.0,10.0,98981,0,0,68FC291726A0436240010C63EC0CD048DE8F1FBC3B30B0F7F54CB8FB17D072AC
0,2022-04-01 12:10:30.384136,0,30.924182000000002,Init,10.924182,10.0,10.0,98981,0,0,
0,2022-04-01 12:16:36.216603,0,30.924182000000002,Init,10.924182,10.0,10.0,98981,0,0,
0,2022-04-01 12:17:37.968976,0.03307414,0,Activate,10.924182,10.0,10.0,98981,0,0,633316D5C4C43E5509722CCB9A47B073355C8529903A9CD0C2C52DD54690D8B2
0,2022-04-01 12:18:14.830275,0,30.858255,Init,10.858255,10.0,10.0,98981,0,0,
0,2022-04-01 12:20:05.727617,0.13614986,98981,Swap [bLuna],10.858255,10.0,10.0,0,0,0,52490883048AA36B2948F29C70C426B167B909FDE7E0055790FBE1882A7651FB
0,2022-04-01 12:20:43.822231,0,30.749203,Init,10.749203,10.0,10.0,0,98399,0,
0,2022-04-01 12:22:25.503888,0.058395260000000004,98399,Swap [uLuna],10.749203,10.0,10.0,0,98399,0,917411BCACE2C41AB8634AAC95A879D8B9117B02304FA9D0FB9230A07D8E7C95
0,2022-04-01 12:22:40.251557,0,40.697068,Init,20.697068,10.0,10.0,0,0,0,
0,2022-04-01 14:28:12.889773,0.031093259999999998,1000000,Submit,20.697068,10.0,10.0,0,0,3075,867AA6ED1358D22A4882F6510EC72956EBFDF84599013D5F4FAED6F80E636F4D
0,2022-04-01 14:30:10.025882,0,20.558163,Init,0.558163,10.0,10.0,0,0,0,
0,2022-04-01 14:31:45.594934,0.11909589999999999,0,Claim,0.558163,10.0,10.0,99665,0,0,F5574F2BA2759867AE164B9A6B87209D3D926E62DABEA933DD099D83CA073FEE
0,2022-04-01 14:32:11.526037,0,30.384866000000002,Init,10.384866,10.0,10.0,99665,0,0,
0,2022-04-01 14:37:30.046068,0,30.384866000000002,Init,10.384866,10.0,10.0,99665,0,0,
0,2022-04-01 14:38:51.623389,0.03313464,0,Activate,10.384866,10.0,10.0,99665,0,0,516E2EBED4B62E4D3913D36C4B6AC517E4DFF5897469E7922DA7486D43300457
0,2022-04-01 14:40:01.323950,0,30.318903,Init,10.318903,10.0,10.0,99665,0,0,
0,2022-04-01 14:41:38.409769,0.13617934,99665,Swap [bLuna],10.318903,10.0,10.0,0,0,0,76DEE6B03E82A46841C94D5737094183A38F8E8AAF4DE2556AE8484260D74E19
0,2022-04-01 14:42:26.212123,0,30.209820999999998,Init,10.209821,10.0,10.0,0,99098,0,
0,2022-04-01 14:44:12.224075,0.058388,99098,Swap [uLuna],10.209821,10.0,10.0,0,99098,0,E54B6EE8F11AECCF186A597F2D97BE7A6FA866BB6DDBDD0C35B23F65C6D0A3AB
0,2022-04-01 14:44:21.104747,0,40.273219999999995,Init,20.27322,10.0,10.0,0,0,0,
