,Time,Gas,Coins,Action,wallet_ust,wallet_ust_bidbook_bLuna,wallet_ust_bidbook_bETH,wallet_exp_bLuna,wallet_exp_uLuna,wallet_exp_bETH,tx_hash
0,2022-04-03 04:15:02.412656,0.12394096,0,Claim,18.868091,9.757918,10.0,791,0,0,831BAD8621F059F71B69390CC2FDCBA89DC3103DA01CE9B79E55009B1CBA1090
0,2022-04-03 04:16:03.447050,0,38.493916999999996,Init,18.735999,9.757918,10.0,791,0,0,
0,2022-04-03 04:17:17.075541,0.13621982000000002,791,Swap [bLuna],18.735999,9.757918,10.0,0,0,0,F4C01471B0BE90A7B81373AB723206AB46D09C9EB81F09FD10D1352A6BB2F0C2
0,2022-04-03 04:18:13.697548,0,38.384808,Init,18.62689,9.757918,10.0,0,786,0,
0,2022-04-03 04:20:55.621875,0.05831386,786,Swap [uLuna],18.62689,9.757918,10.0,0,786,0,58E162778ED28F50C9BEA5E9DBF01105EA19C9AA55E332C6B984C21042D8ADF5
0,2022-04-03 04:21:10.126546,0,38.428922,Init,18.671004,9.757918,10.0,0,0,0,
0,2022-04-03 16:08:08.136612,0.12394272,0,Claim,18.671004,9.747718,10.0,91,0,0,0C7E75DCD8C4044F38E5FA3712D81D13B4D240D631160374156F042C5E7CE156
0,2022-04-03 16:08:52.091379,0,38.286636,Init,18.538918,9.747718,10.0,91,0,0,
0,2022-04-03 16:10:39.362515,0.13619144,91,Swap [bLuna],18.538918,9.747718,10.0,0,0,0,8697BEB338DD054C0724545C37B2CEDC6DD95AEFCBB14F48F8F59492DCADDFDA
0,2022-04-03 16:11:12.450712,0,38.177550000000004,Init,18.429832,9.747718,10.0,0,90,0,
0,2022-04-03 16:12:41.596659,0.05828504,90,Swap [uLuna],18.429832,9.747718,10.0,0,90,0,2846447E5237488D5E9EBE3706352A3BEA32EE613FA3B8FD3FE9432D7D2E18AB
0,2022-04-03 16:12:47.818039,0,38.142345,Init,18.394627,9.747718,10.0,0,0,0,
