,Time,Gas,Coins,Action,wallet_ust,wallet_ust_bidbook_bLuna,wallet_ust_bidbook_bETH,wallet_exp_bLuna,wallet_exp_uLuna,wallet_exp_bETH,tx_hash
0,2022-04-05 01:21:20.449303,0.12393832,0,Claim,17.817852,9.961407,10.0,335,0,0,E911EB289B9805AC86BD5FD4FCADE3DA1E612B349FA18073F2379F173FA31AC4
0,2022-04-05 01:21:55.208880,0,37.64717,Init,17.685763,9.961407,10.0,335,0,0,
0,2022-04-05 01:23:05.504472,0.13624094,335,Swap [bLuna],17.685763,9.961407,10.0,0,0,0,6E23AE9EA44D2369090392309DF366B36AF566807032989C10717057C7AF8E2E
0,2022-04-05 01:23:20.986102,0,37.538043,Init,17.576636,9.961407,10.0,0,333,0,
0,2022-04-05 01:25:03.870792,0.05829142,333,Swap [uLuna],17.576636,9.961407,10.0,0,333,0,8542CD5A04538E2631725625726FCFC04C87CC1956C167864C6A43E2ED761C1E
0,2022-04-05 01:25:09.902397,0,37.531249,Init,17.569842,9.961407,10.0,0,0,0,
0,2022-04-05 01:46:15.463612,0.12358302,0,Claim,17.569842,9.912681,10.0,424,0,0,DF27F5AB1E6903375607D911DF0B8E3357D61181DBC1D189D730000DEB33D4EB
0,2022-04-05 01:46:49.638648,0,37.35083,Init,17.438149,9.912681,10.0,424,0,0,
0,2022-04-05 01:48:44.616166,0.13624182,424,Swap [bLuna],17.438149,9.912681,10.0,0,0,0,27778DAFAE04A7019789CD159C55E4BE53AF6A71414CD456B83281A45F99CC77
0,2022-04-05 01:49:12.266329,0,37.241703,Init,17.329022,9.912681,10.0,0,422,0,
0,2022-04-05 01:52:07.371522,0.05830726,422,Swap [uLuna],17.329022,9.912681,10.0,0,422,0,8B195979B3B3CA555AD2F7C6E97AD14181B683223259892E0FCCAFB0C341D7CE
0,2022-04-05 01:52:17.818261,0,37.245047,Init,17.332366,9.912681,10.0,0,0,0,
0,2022-04-05 03:49:36.251846,0.12397968000000001,0,Claim,17.332366,9.520221,10.0,3420,0,0,025DD7D29FFC2A0B35A71AFA24A950AE4CFB9915526C60521F20395DCB4B4A1F
0,2022-04-05 03:50:22.423841,0,36.715916,Init,17.20024,9.515676,10.0,3420,0,0,
0,2022-04-05 03:51:45.957535,0.12361778,0,Claim,17.20024,9.515676,10.0,3459,0,0,76E5B528DDE9A7AD612FC5531BD7DE465FE45B34FCCCC79FCC031C9269AF0AFE
0,2022-04-05 03:52:23.478758,0,36.584177,Init,17.068501,9.515676,10.0,3459,0,0,
0,2022-04-05 03:53:57.554890,0.13626096,3459,Swap [bLuna],17.068501,9.515676,10.0,0,0,0,C471649B57DEC89BA183B61E0C352FE8639025F73DA040A71FFF2F64E08E01DE
0,2022-04-05 03:55:18.829578,0,36.475034,Init,16.959358,9.515676,10.0,0,3440,0,
0,2022-04-05 03:57:13.902087,0.058344,3440,Swap [uLuna],16.959358,9.515676,10.0,0,3440,0,44A2BA37CDD77A6A705512C18C9E44321620E598E3CFE95C00724326BFCA18AD
0,2022-04-05 03:57:22.590981,0,36.826595,Init,17.310919,9.515676,10.0,0,0,0,
0,2022-04-05 09:04:43.648877,0.12408132000000001,0,Claim,17.310919,9.390257,10.0,1094,0,0,0C4BCD3A459194784054C62A1D77FBDDE99591284B07A6C17CA7AD19562441B3
0,2022-04-05 09:05:01.160900,0,36.568931,Init,17.178674,9.390257,10.0,1094,0,0,
0,2022-04-05 09:06:17.428284,0.13625589999999999,1094,Swap [bLuna],17.178674,9.390257,10.0,0,0,0,198D8179ECCE3FB04FBCE9A7F2F73615650B299E5FD874A0BA463D0454CE9FB7
0,2022-04-05 09:06:37.636464,0,36.459792,Init,17.069535,9.390257,10.0,0,1089,0,
0,2022-04-05 09:08:58.006922,0.05833674,1089,Swap [uLuna],17.069535,9.390257,10.0,0,1089,0,5858774D0A7E32978BBCB8F61317632132F7795CE7D4EFAE6573C9CA29DE0C02
0,2022-04-05 09:09:05.688908,0,36.539951,Init,17.149694,9.390257,10.0,0,0,0,
0,2022-04-05 09:42:08.689998,0,36.539951,Init,17.149694,9.390257,10.0,0,0,0,
0,2022-04-05 12:36:15.850899,0.12409364,0,Claim,17.149694,8.372767,10.0,8881,0,0,AA6BD0F83CC10C93B7C3745EACCB788F63627F5242EFB20C360AEAC2B3293541
0,2022-04-05 12:37:03.803861,0,35.390211,Init,17.017444,8.372767,10.0,8881,0,0,
0,2022-04-05 12:38:53.026374,0.1362691,8881,Swap [bLuna],17.017444,8.372767,10.0,0,0,0,0FEC760696278708A93C0E581D1D7FCD5CE9573FBF461D4212712ABBCD4F1A2B
0,2022-04-05 12:39:03.779423,0,35.281061,Init,16.908294,8.372767,10.0,0,8848,0,
0,2022-04-05 12:41:25.027959,0.058350599999999996,8848,Swap [uLuna],16.908294,8.372767,10.0,0,8848,0,8249EC48F4E258CCC2FF4359CA41D43A987D3DDBECCA06F708E12DE14ADDBBFC
0,2022-04-05 12:41:39.775854,0,36.260748,Init,17.887981,8.372767,10.0,0,0,0,
0,2022-04-05 12:46:42.983955,0.12362944000000001,0,Claim,17.887981,7.943086,10.0,3705,0,0,17AA2F63AD374A2C77F04F8A05560DE042F155F882A491136803D4AB8194CA9E
0,2022-04-05 12:47:55.605116,0,35.699314,Init,17.756228,7.943086,10.0,3705,0,0,
0,2022-04-05 12:49:28.732004,0.13626184,3705,Swap [bLuna],17.756228,7.943086,10.0,0,0,0,BC45A952BEC6CC309373D93430D6E9E1A7E2558316343797DC0F97EC25470457
0,2022-04-05 12:50:08.760819,0,35.590164,Init,17.647078,7.943086,10.0,0,3690,0,
0,2022-04-05 12:51:51.109350,0.058344,3690,Swap [uLuna],17.647078,7.943086,10.0,0,3690,0,7A4C29D22A86A041AD6CBB8B15A1B9B4DD15DFE74F40E786ADB8D3B4705E039E
0,2022-04-05 12:52:25.361336,0,35.975617,Init,18.032531,7.943086,10.0,0,0,0,
0,2022-04-05 13:04:21.302620,0.12362658,0,Claim,18.032531,7.796001,10.0,1264,0,0,2B2FAF61649542DBB125A319EDD2B41D7F8E25869F87040F3AD7AF218F836620
0,2022-04-05 13:05:15.993262,0,35.696782999999996,Init,17.900782,7.796001,10.0,1264,0,0,
0,2022-04-05 13:07:12.110209,0.13626558,1264,Swap [bLuna],17.900782,7.796001,10.0,0,0,0,71813853056DD86876C46A00502BA6D5095640A0AD8BA19482C1861F5C664347
0,2022-04-05 13:07:31.565914,0,35.587636,Init,17.791635,7.796001,10.0,0,1260,0,
0,2022-04-05 13:09:41.016089,0.058344,1260,Swap [uLuna],17.791635,7.796001,10.0,0,1260,0,A74FACB0F99C673FE4FCEBF58284653915254EE4F9A5E9D97945CFE0CD56D1DB
0,2022-04-05 13:09:54.769230,0,35.690391000000005,Init,17.89439,7.796001,10.0,0,0,0,
0,2022-04-05 13:22:53.385425,0.1239986,0,Claim,17.89439,7.736479,10.0,512,0,0,2896591A7389F2B8DC02C8D03702782FA6960C22357815CA9BE3741A6175A7DF
0,2022-04-05 13:23:34.885787,0,35.498722,Init,17.762243,7.736479,10.0,512,0,0,
0,2022-04-05 13:24:42.136192,0.13623434,512,Swap [bLuna],17.762243,7.736479,10.0,0,0,0,8B658B2ACB312F4432C598700977398C8DB04A50951190C1595B68943F87ECA3
0,2022-04-05 13:25:01.181939,0,35.389601,Init,17.653122,7.736479,10.0,0,511,0,
0,2022-04-05 13:26:45.859957,0.058314519999999995,511,Swap [uLuna],17.653122,7.736479,10.0,0,511,0,45A22CE46CD9E86BD1DF0047F1E82A9EA83321A18084D57C54B1CFE4B974CBDE
0,2022-04-05 13:27:06.478640,0,35.403757,Init,17.667278,7.736479,10.0,0,0,0,
0,2022-04-05 16:15:38.100615,0.12388089999999999,0,Claim,17.667278,7.661982,10.0,642,0,0,CCFD7FB71F777B249DA7B92ECAD6F2DC0C5689DA2CC42215B0FAE1724198A48D
0,2022-04-05 16:16:21.855819,0,35.197234,Init,17.535252,7.661982,10.0,642,0,0,
0,2022-04-05 16:18:10.288837,0.13621651999999998,642,Swap [bLuna],17.535252,7.661982,10.0,0,0,0,4A3AFBD208FE0960621D79A2906365D569910C015CD87D1AB3147CBA80408CA7
0,2022-04-05 16:18:27.170945,0,35.088121,Init,17.426139,7.661982,10.0,0,642,0,
0,2022-04-05 16:20:07.757071,0.058314519999999995,642,Swap [uLuna],17.426139,7.661982,10.0,0,642,0,E01DD3A528E4D322EF1BCE42116F7D63F200ED4DBF473C723FD82C3A33F00A75
0,2022-04-05 16:20:13.898970,0,35.117316,Init,17.455334,7.661982,10.0,0,0,0,
