,Time,Gas,Coins,Action,wallet_ust,wallet_ust_bidbook_bLuna,wallet_ust_bidbook_bETH,wallet_exp_bLuna,wallet_exp_uLuna,wallet_exp_bETH,tx_hash
0,2022-03-30 10:52:31.144903,0.124014,0,Claim,25.482077,9.82116,10.0,1697,0,0,15AA5AEED7E9B3A785EE6B674E7ACBC9DFC673EB5685F27C3B31CDD24F90A751
0,2022-03-30 10:52:49.925506,0,45.171055,Init,25.349895,9.82116,10.0,1697,0,0,
0,2022-03-30 10:54:40.783529,0.13624072,1697,Swap [bLuna],25.349895,9.82116,10.0,0,0,0,FB8C7FD5375530C006F88B2318EF7CD3785AD94517AC183958231BB5C9634A43
0,2022-03-30 10:55:13.962904,0,45.061928,Init,25.240768,9.82116,10.0,0,1689,0,
0,2022-03-30 10:57:06.926859,0.058344,1689,Swap [uLuna],25.240768,9.82116,10.0,0,1689,0,1976C356950429DBD29776668D66FEDCD3283E7EEC5371B912955B1B6DD04427
0,2022-03-30 10:57:41.804470,0,45.195047,Init,25.373887,9.82116,10.0,0,0,0,
0,2022-03-30 16:31:00.291398,0.0310992,1000000,Submit,25.373887,10.0,10.0,0,0,0,BE368109AD4AC702992A5B5F75233B9F60E15F5F427F9537E67BF4F1DEFF1EE7
0,2022-03-30 16:31:52.967826,0,35.343075,Init,15.343075,10.0,10.0,0,0,0,
0,2022-03-30 16:33:10.660693,0.11927366,0,Claim,15.343075,10.0,10.0,94106,0,0,892F058D74DC2518C39B9C920C83169DCC7AB83DC81B515A420238D24D7F2C46
0,2022-03-30 16:36:15.543706,0,35.216083,Init,15.216083,10.0,10.0,94106,0,0,
0,2022-03-30 16:39:38.663738,0,35.216083,Init,15.216083,10.0,10.0,94106,0,0,
0,2022-03-30 16:41:13.876770,0.03313904,0,Activate,15.216083,10.0,10.0,94106,0,0,007383BF97F9A1B399DC1F865EA4540F57FE8E7383D995177750F8EBA459F98F
0,2022-03-30 16:42:03.735114,0,35.183053,Init,15.183053,10.0,10.0,94106,0,0,
0,2022-03-30 16:44:24.624981,0.13622708,94106,Swap [bLuna],15.183053,10.0,10.0,0,0,0,1F32519463D134CCFED0879FFD84B2445F792B8FFA371EB9BD693E352FC63E96
0,2022-03-30 16:45:17.639415,0,35.073932,Init,15.073932,10.0,10.0,0,93811,0,
0,2022-03-30 16:47:24.082681,0.058364900000000004,93811,Swap [uLuna],15.073932,10.0,10.0,0,93811,0,1FFBF2A5B8FD158BC70AB0128177AFE06770583E5D116731013B643A07DA4CD5
0,2022-03-30 16:47:43.323978,0,44.924989,Init,24.924989,10.0,10.0,0,0,0,
0,2022-03-30 17:26:13.411742,0.0310992,1000000,Submit,24.924989,10.0,10.0,0,0,0,F3B2458FC3E2FA8F287A937B1A844B2128622BB799FA052448D1FF5C3E88B31F
0,2022-03-30 17:27:56.130058,0,34.894177,Init,14.894177,10.0,10.0,0,0,0,
0,2022-03-30 17:29:15.464021,0.11911196,0,Claim,14.894177,10.0,10.0,96222,0,0,2E98C82D9A970394F1A256FEA6022579361C75569358F3120AC843A3E62EFF1F
0,2022-03-30 17:30:16.323836,0,34.767343,Init,14.767343,10.0,10.0,96222,0,0,
0,2022-03-30 17:36:40.332731,0,34.767343,Init,14.767343,10.0,10.0,96222,0,0,
0,2022-03-30 17:39:16.829977,0.033118800000000004,0,Activate,14.767343,10.0,10.0,96222,0,0,E101B1CB8C6E5FDECF4A61EE96688FD01E1E5B901DA0CA1B6008B7D10425DEA1
