,Time,Gas,Coins,Action,wallet_ust,wallet_ust_bidbook_bLuna,wallet_ust_bidbook_bETH,wallet_exp_bLuna,wallet_exp_uLuna,wallet_exp_bETH,tx_hash
0,2022-04-02 18:59:50.119913,0.12393325999999999,0,Claim,19.695497,9.904198,10.0,846,0,0,75A97D93CBCD8CE4133EDF64C0215EBFCF3BC016A948DEEA4065389E0BA2513B
0,2022-04-02 19:00:17.474278,0,39.381073,Init,19.476875,9.904198,10.0,846,0,0,
0,2022-04-02 19:01:44.417190,0.13622378,846,Swap [bLuna],19.476875,9.904198,10.0,0,0,0,E78890CB9DA8D33F720505EFE85330E8DFB138E1D4038FCBBA2AB4271CA1A7F0
0,2022-04-02 19:02:07.646193,0,39.271947,Init,19.367749,9.904198,10.0,0,841,0,
0,2022-04-02 19:04:20.243843,0.05829142,841,Swap [uLuna],19.367749,9.904198,10.0,0,841,0,6924455DC4AA3B289BE3EB719CCBF4857537795A419D54432955FFD5963C5EFE
0,2022-04-02 19:04:40.714952,0,39.322023,Init,19.417825,9.904198,10.0,0,0,0,
0,2022-04-02 19:20:49.632111,0.12392974000000001,0,Claim,19.417825,9.85826,10.0,406,0,0,36B5EE47B61A5660A7ECDBDD8476AE1CC5A6E157D5F420774C97AF21A6A234D2
0,2022-04-02 19:21:17.161982,0,39.144013,Init,19.285753,9.85826,10.0,406,0,0,
0,2022-04-02 19:22:31.950621,0.13618088,406,Swap [bLuna],19.285753,9.85826,10.0,0,0,0,17E3662F64E0AC89594FB8D69EDBEE25142FDA6885C8A122036FA22947CD5703
0,2022-04-02 19:23:12.936453,0,39.034936,Init,19.176676,9.85826,10.0,0,403,0,
0,2022-04-02 19:25:06.559546,0.058299340000000005,403,Swap [uLuna],19.176676,9.85826,10.0,0,403,0,D139677AF55816327817A1BBDF34B91B784BBA3EE4D0DCA93222AAD0132A917E
0,2022-04-02 19:25:20.199368,0,39.035384,Init,19.177124,9.85826,10.0,0,0,0,
0,2022-04-02 22:24:37.065583,0.1238457,0,Claim,19.177124,9.847949,10.0,92,0,0,5FD729A05FFAC0371763045330FF6CCA1DD9E31B2AC823696247754AA7FD13AB
0,2022-04-02 22:25:26.783609,0,38.860107,Init,19.012158,9.847949,10.0,92,0,0,
0,2022-04-02 22:26:50.358945,0.13618682000000001,92,Swap [bLuna],19.012158,9.847949,10.0,0,0,0,DA101A3A1EE8CB730BA99EC846084F2145F31F9BE3464B84B67E2E8DC0567EA5
0,2022-04-02 22:27:46.561065,0,38.751019,Init,18.90307,9.847949,10.0,0,91,0,
0,2022-04-02 22:31:01.425730,0.05826986,91,Swap [uLuna],18.90307,9.847949,10.0,0,91,0,7238BEF398F5C5C6C33FC5B97C1599D2DAFF1220BBB3B7D118A82E70AAB0C4BF
0,2022-04-02 22:31:09.694230,0,38.71604,Init,18.868091,9.847949,10.0,0,0,0,
