,Time,Gas,Coins,Action,wallet_ust,wallet_ust_bidbook_bLuna,wallet_ust_bidbook_bETH,wallet_exp_bLuna,wallet_exp_uLuna,wallet_exp_bETH,tx_hash
0,2022-03-28 10:10:27.003725,0,39.733208000000005,Init,39.716613,0.0,0.016595,0,0,0,
0,2022-03-28 10:11:42.883042,0.03117686,1000000,Submit,39.716613,10.0,0.016595,0,0,0,EB22EE7F94EF482ED99FBBFA2B43D7C5C1C4985847404A66CED6C3B25BA02653
0,2022-03-28 10:16:23.667930,0,39.702318,Init,29.685723,10.0,0.016595,0,0,0,
0,2022-03-28 10:17:34.014936,0.12061896000000001,0,Claim,29.685723,10.0,0.016595,111701,0,0,9F4668C23A20B8382E5E5F13594295D3F68901B57FAB9284DCAD98838BD3D2E5
0,2022-03-28 10:18:19.424785,0,39.573857000000004,Init,29.557262,10.0,0.016595,111701,0,0,
0,2022-03-28 10:22:22.176218,0,39.573857000000004,Init,29.557262,10.0,0.016595,111701,0,0,
0,2022-03-28 10:23:22.078248,0.03540724,0,Activate,29.557262,10.0,0.016595,111701,0,0,E726ED897BFEF7806921CF64AA885B2B71F7593D1D4CFAC73F8650AD68625A5C
0,2022-03-28 10:24:28.126840,0,39.538344,Init,29.521749,10.0,0.016595,111701,0,0,
0,2022-03-28 10:26:31.621954,0.13627174,111701,Swap [bLuna],29.521749,10.0,0.016595,0,0,0,638A9D833FD7879426A4584AF6EF2A5F2336C91D881F0FC9E0A0D700AFF23813
0,2022-03-28 10:26:52.511611,0,39.429186,Init,29.412591,10.0,0.016595,0,110888,0,
0,2022-03-28 10:28:42.181470,0.058395260000000004,110888,Swap [uLuna],29.412591,10.0,0.016595,0,110888,0,DD02863FF48982EC189EDED6D2B9C3539F4EDE2A9FFD7EA268AFF860A58DAC62
0,2022-03-28 10:28:59.079281,0,49.838446000000005,Init,39.821851,10.0,0.016595,0,0,0,
0,2022-03-28 10:38:46.394074,0,49.838446000000005,Init,39.821851,10.0,0.016595,0,0,0,
0,2022-03-28 14:01:52.005893,0,49.838446000000005,Init,39.821851,10.0,0.016595,0,0,0,
0,2022-03-28 20:10:15.174028,0.12395328,0,Claim,39.821851,9.977633,0.016595,227,0,0,6FB03AA14EC5233174D51A90692E9F38DD4F9BE15D0623A49E72E2CD49556A9C
0,2022-03-28 20:11:01.827316,0,49.68398100000001,Init,39.689753,9.977633,0.016595,227,0,0,
0,2022-03-28 20:12:14.433114,0.1362141,227,Swap [bLuna],39.689753,9.977633,0.016595,227,0,0,BF42CD1C53BA88B425966138F864041E0A4D41D4394AC72FD53ACE4EE2E782B3
0,2022-03-28 20:12:29.250895,0,49.574875999999996,Init,39.580648,9.977633,0.016595,0,226,0,
0,2022-03-28 20:15:06.186780,0.058268099999999996,226,Swap [uLuna],39.580648,9.977633,0.016595,0,226,0,F6FAC6B6A417DC37857A5A77EA217A6B0CFCE7EB089800442D93D8E3892FE23A
0,2022-03-28 20:15:30.703791,0,49.55200200000001,Init,39.557774,9.977633,0.016595,0,0,0,
0,2022-03-28 23:41:50.703419,0.12399969999999999,0,Claim,39.557774,9.057547,0.016595,9520,0,0,C30704615E5B03B2284EF6E99ACC65F217765083335463725F612C46624E3A4A
0,2022-03-28 23:42:18.461350,0,48.499759000000005,Init,39.425617,9.057547,0.016595,9520,0,0,
0,2022-03-28 23:44:26.840987,0.13620376,9520,Swap [bLuna],39.425617,9.057547,0.016595,0,0,0,F81F9B196C826AF7366D1418B1951EB23C39178DD0D7630E69F201AE1F0DB1F3
0,2022-03-28 23:44:36.563961,0,48.390668000000005,Init,39.316526,9.057547,0.016595,0,9466,0,
0,2022-03-28 23:46:46.699385,0.05832002,9466,Swap [uLuna],39.316526,9.057547,0.016595,0,9466,0,AC8FF698A42B5739379A484EBA058A55FB96DD20F813743B62AF27A05165E440
0,2022-03-28 23:46:51.843553,0,49.271122000000005,Init,40.19698,9.057547,0.016595,0,0,0,
